-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  41.1745   longitude 22.7493 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 342.08 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,DOY,T2M,PRECTOTCORR,RH2M
2024,1,9.0,0.0,82.19
2024,2,8.41,0.47,87.16
2024,3,6.37,0.14,87.41
2024,4,8.19,0.24,85.67
2024,5,7.03,0.0,80.51
2024,6,9.17,2.21,93.16
2024,7,8.99,13.5,94.61
2024,8,6.79,1.34,84.01
2024,9,2.66,4.23,81.1
2024,10,-0.42,0.09,77.11
2024,11,0.38,0.0,83.7
2024,12,-0.65,0.0,72.96
2024,13,-1.97,0.0,72.88
2024,14,0.62,0.06,72.14
2024,15,3.71,9.86,83.75
2024,16,4.36,0.03,81.76
2024,17,6.61,0.15,85.52
2024,18,9.9,1.06,88.13
2024,19,11.32,0.01,76.22
2024,20,2.96,8.07,84.4
2024,21,0.31,1.27,76.15
2024,22,-1.04,0.88,68.21
2024,23,0.36,0.09,71.44
2024,24,2.24,0.0,78.63
2024,25,4.07,0.0,76.5
2024,26,3.66,0.0,72.31
2024,27,3.26,0.02,70.58
2024,28,2.06,0.02,74.3
2024,29,2.09,0.09,74.17
2024,30,0.73,0.01,68.98
2024,31,0.87,0.0,65.78
2024,32,2.3,0.0,59.73
2024,33,3.62,0.1,68.92
2024,34,3.23,0.0,77.32
2024,35,7.18,0.0,76.74
2024,36,8.72,0.0,76.37
2024,37,10.32,0.0,65.99
2024,38,10.12,0.0,76.72
2024,39,10.79,0.02,68.47
2024,40,9.44,0.0,75.48
2024,41,9.43,0.0,78.93
2024,42,10.58,5.09,92.37
2024,43,10.29,13.23,78.32
2024,44,7.88,0.08,76.94
2024,45,6.97,0.03,69.67
2024,46,5.32,0.0,68.3
2024,47,6.61,0.0,62.87
2024,48,8.52,0.0,64.54
2024,49,7.65,0.0,74.0
2024,50,6.56,0.12,83.57
2024,51,6.88,1.38,84.74
2024,52,6.28,0.01,73.52
2024,53,7.53,0.0,77.55
2024,54,9.51,0.01,82.02
2024,55,11.13,0.37,78.37
2024,56,11.54,1.38,81.71
2024,57,10.55,1.04,87.14
2024,58,11.41,0.06,74.06
2024,59,10.37,0.2,82.88
2024,60,11.39,3.78,84.48
2024,61,9.76,14.86,90.78
2024,62,10.5,2.26,74.69
2024,63,9.91,0.0,75.36
2024,64,10.11,8.79,88.77
2024,65,9.25,12.49,86.75
2024,66,9.28,0.78,80.23
2024,67,9.17,4.0,77.55
2024,68,7.82,0.16,71.07
2024,69,7.78,0.9,85.52
2024,70,9.97,0.1,85.3
2024,71,10.89,3.37,87.57
2024,72,9.72,9.09,85.75
2024,73,9.07,0.16,75.35
2024,74,8.2,6.22,78.81
2024,75,9.28,0.01,71.31
2024,76,10.47,0.03,77.28
2024,77,10.85,0.64,80.84
2024,78,11.7,0.01,64.56
2024,79,10.06,1.21,71.45
2024,80,6.19,0.0,63.56
2024,81,9.1,0.0,62.8
2024,82,9.37,0.07,70.27
2024,83,9.7,0.0,73.43
2024,84,12.07,0.07,72.51
2024,85,8.26,1.18,68.14
2024,86,7.76,1.85,73.07
2024,87,12.07,1.28,86.31
2024,88,14.37,0.74,71.33
2024,89,15.55,0.0,61.67
2024,90,16.0,0.0,64.08
2024,91,15.29,0.0,71.03
2024,92,17.02,0.0,61.99
2024,93,15.21,0.0,60.87
2024,94,14.21,0.0,53.4
2024,95,15.35,0.0,52.04
2024,96,16.51,0.0,55.32
2024,97,18.06,0.0,53.07
2024,98,17.3,0.13,61.39
2024,99,16.61,0.0,56.73
2024,100,16.93,0.0,52.4
2024,101,17.79,0.0,49.18
2024,102,18.81,0.0,49.07
2024,103,18.79,0.0,54.09
2024,104,19.76,0.0,59.1
2024,105,20.48,0.0,51.27
2024,106,21.42,0.0,49.86
2024,107,20.04,0.38,58.56
2024,108,17.39,8.63,73.35
2024,109,11.71,1.48,66.77
2024,110,11.36,3.79,68.45
2024,111,13.57,0.73,56.74
2024,112,11.33,9.14,78.54
2024,113,11.25,1.21,68.35
2024,114,13.09,12.45,87.25
2024,115,16.85,0.08,61.35
2024,116,12.4,1.26,68.53
2024,117,14.12,0.08,55.37
2024,118,15.89,0.04,52.88
2024,119,17.66,0.0,52.52
2024,120,18.25,0.0,54.47
2024,121,18.43,0.0,60.09
2024,122,18.18,0.1,65.3
2024,123,16.24,2.61,74.04
2024,124,14.89,2.92,63.04
2024,125,14.35,3.53,68.14
2024,126,17.01,0.0,58.27
2024,127,17.93,0.0,59.31
2024,128,20.25,0.0,54.32
2024,129,19.25,0.04,62.94
2024,130,18.16,7.43,70.87
2024,131,16.52,3.83,72.08
2024,132,16.65,0.12,54.81
2024,133,17.71,0.08,52.22
2024,134,17.86,0.04,57.88
2024,135,14.56,2.82,78.98
2024,136,14.16,2.15,75.63
2024,137,13.42,5.2,80.24
2024,138,16.54,0.02,70.64
2024,139,19.52,0.44,69.79
2024,140,20.17,3.93,75.28
2024,141,20.68,0.87,71.23
2024,142,20.54,0.04,63.71
2024,143,21.47,0.92,57.94
2024,144,20.29,0.15,55.03
2024,145,20.72,0.02,56.77
2024,146,21.1,0.32,56.83
2024,147,20.97,0.48,57.24
2024,148,20.96,0.03,48.38
2024,149,21.08,1.03,51.7
2024,150,20.78,1.26,56.78
2024,151,21.32,1.3,53.8
2024,152,22.04,0.04,57.29
2024,153,24.03,0.36,55.88
2024,154,26.15,0.78,49.51
2024,155,26.55,0.14,46.02
2024,156,26.77,0.0,41.22
2024,157,25.97,0.01,42.6
2024,158,26.43,0.0,39.76
2024,159,27.67,0.04,39.77
2024,160,28.61,0.0,38.22
2024,161,28.8,0.0,40.73
2024,162,29.41,0.02,39.94
2024,163,29.75,0.0,35.64
2024,164,31.21,0.0,30.22
2024,165,30.71,0.2,32.5
2024,166,26.19,0.32,40.0
2024,167,25.46,0.0,35.14
2024,168,27.91,0.01,36.2
2024,169,27.86,0.04,40.22
2024,170,30.16,0.01,34.56
2024,171,31.2,0.0,33.27
2024,172,32.09,0.0,32.75
2024,173,32.54,0.0,33.78
2024,174,31.13,0.0,38.11
2024,175,30.61,0.3,39.98
2024,176,30.71,12.77,41.71
2024,177,27.84,14.88,62.71
2024,178,27.21,0.33,61.2
2024,179,26.58,8.93,57.58
2024,180,25.19,2.93,61.26
2024,181,27.54,0.0,45.82
2024,182,28.24,0.0,42.73
2024,183,28.62,0.0,43.78
2024,184,26.82,2.54,51.47
2024,185,24.05,0.88,52.93
2024,186,23.51,0.54,51.04
2024,187,24.76,0.0,43.33
2024,188,26.7,0.0,43.8
2024,189,28.42,0.0,40.4
2024,190,30.97,0.0,33.74
2024,191,31.93,0.0,31.51
2024,192,32.96,0.0,29.58
2024,193,32.56,0.0,28.54
2024,194,32.46,0.18,30.24
2024,195,32.42,0.0,29.11
2024,196,32.75,0.0,30.21
2024,197,32.97,0.0,27.89
2024,198,32.81,0.0,24.71
2024,199,33.81,0.0,25.39
2024,200,34.27,0.71,27.7
2024,201,33.09,0.89,30.25
2024,202,31.91,0.04,34.06
2024,203,32.72,0.02,33.44
2024,204,32.49,0.48,34.21
2024,205,31.69,0.4,35.2
2024,206,30.72,1.18,36.16
2024,207,27.87,1.4,39.27
2024,208,26.96,0.0,30.48
2024,209,28.18,0.0,28.08
2024,210,29.44,0.0,30.9
2024,211,31.88,0.0,27.73
2024,212,28.42,0.0,21.44
2024,213,27.69,0.0,30.25
2024,214,28.55,0.0,34.2
2024,215,30.29,0.0,29.91
2024,216,30.93,0.37,33.66
2024,217,28.78,0.78,33.55
2024,218,28.74,0.04,29.76
2024,219,28.93,0.02,32.01
2024,220,28.48,0.0,27.52
2024,221,29.33,0.02,33.94
2024,222,30.23,0.05,34.04
2024,223,29.45,0.0,29.64
2024,224,30.6,0.0,26.81
2024,225,30.67,0.0,33.69
2024,226,31.28,0.0,32.38
2024,227,32.03,0.0,29.18
2024,228,32.04,0.02,30.68
2024,229,32.05,0.1,33.78
2024,230,31.0,0.08,43.55
2024,231,28.02,3.8,54.52
2024,232,27.17,5.76,55.34
2024,233,25.76,9.25,65.91
2024,234,25.02,2.95,62.58
2024,235,27.2,0.5,48.22
2024,236,28.81,0.0,41.42
2024,237,28.4,0.0,36.82
2024,238,28.54,0.01,42.83
2024,239,28.27,1.36,40.97
2024,240,27.49,0.05,38.02
2024,241,28.56,0.02,35.81
2024,242,26.66,2.48,47.87
2024,243,25.48,2.56,51.53
2024,244,25.0,0.32,51.66
2024,245,25.75,0.05,42.86
2024,246,26.87,0.0,37.96
2024,247,27.68,0.04,41.06
2024,248,28.14,0.22,37.35
2024,249,27.67,0.03,42.72
2024,250,27.79,1.96,49.73
2024,251,26.64,1.23,56.24
2024,252,24.8,5.42,62.56
2024,253,23.53,2.03,60.13
2024,254,21.3,7.63,76.97
2024,255,20.71,0.22,63.27
2024,256,22.59,0.0,56.63
2024,257,22.49,2.6,69.53
2024,258,20.53,0.09,51.05
2024,259,17.56,0.12,57.3
2024,260,17.96,0.05,56.26
2024,261,18.61,1.48,60.67
2024,262,17.56,10.67,79.7
2024,263,18.46,1.65,70.64
2024,264,18.12,4.85,76.79
2024,265,19.62,0.83,60.03
2024,266,19.51,0.0,45.45
2024,267,19.63,0.0,51.46
2024,268,19.65,0.31,59.21
2024,269,22.17,0.0,59.34
2024,270,23.02,0.0,54.1
2024,271,22.74,0.0,55.96
2024,272,23.34,0.0,56.43
2024,273,19.67,1.34,58.99
2024,274,14.73,0.01,47.05
2024,275,13.66,0.0,43.38
2024,276,15.94,0.0,42.82
2024,277,18.51,0.0,65.05
2024,278,21.33,0.59,67.73
2024,279,20.47,5.2,76.77
2024,280,18.2,0.13,60.61
2024,281,17.05,0.02,58.46
2024,282,18.04,0.0,54.44
2024,283,19.25,0.55,63.81
2024,284,21.52,0.02,62.35
2024,285,22.41,0.21,64.59
2024,286,18.83,0.01,58.06
2024,287,16.3,0.0,57.47
2024,288,17.65,0.0,51.2
2024,289,17.89,0.0,54.78
2024,290,18.37,0.0,53.33
2024,291,15.45,0.0,63.81
2024,292,12.99,0.0,56.93
2024,293,12.39,0.0,56.93
2024,294,12.81,0.01,52.48
2024,295,13.43,0.0,55.95
2024,296,14.02,0.01,52.43
2024,297,15.27,0.0,43.61
2024,298,14.73,0.0,48.62
2024,299,14.65,0.0,61.13
2024,300,14.63,0.01,56.29
2024,301,15.27,0.02,37.2
2024,302,16.36,0.0,37.09
2024,303,16.16,0.0,61.81
2024,304,15.19,0.0,63.72
2024,305,14.0,0.0,57.64
2024,306,14.35,0.0,57.12
2024,307,14.21,0.0,50.58
2024,308,13.09,0.05,65.71
2024,309,12.14,0.03,53.6
2024,310,9.88,0.0,55.77
